,event,time_scal
2376,7,0.08690509259259259
2377,6,0.08692708333333334
38454,22,0.08745949074074075
38455,23,0.08748495370370371
38456,22,0.08753009259259259
38457,23,0.08757986111111112
2378,0,0.08766898148148149
2379,1,0.08773148148148148
38458,22,0.08831712962962963
38459,23,0.088375
38460,22,0.08856481481481482
38461,23,0.0885925925925926
38462,22,0.08867939814814815
38463,23,0.08871296296296297
38464,22,0.08872222222222222
38465,23,0.08882523148148148
2380,7,0.08886111111111111
2381,6,0.08887152777777778
2382,11,0.08888773148148148
2383,7,0.08888773148148148
2384,6,0.08891203703703704
2385,10,0.08914930555555556
2386,7,0.0892199074074074
2387,6,0.08922569444444445
2388,7,0.08924189814814815
2389,6,0.0892488425925926
2390,11,0.08927083333333333
2391,10,0.08928472222222222
2392,7,0.08930555555555555
2393,6,0.08931018518518519
38466,22,0.0894236111111111
38467,23,0.08945486111111112
38468,22,0.08987847222222223
38469,23,0.08993055555555556
38470,22,0.08993402777777777
38471,23,0.0899837962962963
38472,22,0.09010300925925926
38473,23,0.09016435185185186
38474,22,0.09016666666666667
38475,23,0.09023958333333333
38476,22,0.09031944444444444
38477,23,0.09035300925925926
38478,22,0.09035532407407408
38479,23,0.09040856481481481
38480,22,0.09048263888888888
38481,23,0.09052199074074074
38482,22,0.09054398148148148
38483,23,0.09059143518518518
38484,22,0.09063194444444445
38485,23,0.09065509259259259
38486,22,0.09070949074074074
38487,23,0.0907488425925926
38488,22,0.09076967592592593
38489,23,0.09079282407407407
38490,22,0.09081944444444444
38491,23,0.09090740740740741
2394,17,0.09097685185185185
38492,22,0.09099537037037037
2395,21,0.09102546296296296
2396,0,0.09122685185185185
2397,20,0.09124189814814815
2398,21,0.09124421296296296
2399,20,0.09124537037037037
38493,23,0.09128125
2400,1,0.09129050925925926
38494,22,0.09133101851851852
2401,21,0.09134606481481482
38495,23,0.09180092592592592
38496,22,0.09182291666666667
2402,0,0.09192361111111111
2403,1,0.09200115740740741
2404,0,0.09228125
2405,1,0.09237615740740741
2406,0,0.09285069444444445
2407,1,0.09293518518518519
2408,0,0.0931712962962963
2409,1,0.09326388888888888
2410,0,0.09332523148148149
2411,1,0.0933900462962963
2412,0,0.09441550925925926
2413,1,0.0945011574074074
2414,0,0.09578819444444445
2415,1,0.0958587962962963
2416,0,0.09589236111111112
2417,1,0.09595254629629629
2418,0,0.09674652777777777
2419,1,0.09684143518518519
2420,0,0.09722222222222222
2421,1,0.0972800925925926
2422,20,0.09818287037037036
2423,5,0.09827430555555555
2424,4,0.09828819444444445
2425,5,0.09830555555555555
2426,4,0.09853009259259259
2427,0,0.09916550925925927
2428,1,0.09922453703703704
2429,0,0.09940277777777778
2430,1,0.09950231481481482
2431,0,0.09991782407407407
2432,1,0.09997916666666666
2433,0,0.09998495370370371
2434,1,1.1574074074074073e-05
2435,0,0.0001701388888888889
2436,1,0.0002731481481481481
2437,0,0.000275462962962963
2438,1,0.0003356481481481481
2439,0,0.00034606481481481484
2440,1,0.00040856481481481484
2441,0,0.0004918981481481481
2442,1,0.0005555555555555556
2443,0,0.0006064814814814815
2444,1,0.0006701388888888888
2445,0,0.0009189814814814815
